企业名,成立,地区,赛道
安徽均胜汽车,2021,合肥,新能源汽车
未来机器人,2016,深圳,机器人
驯鹿生物,2017,南京,创新药
天康制药,2018,苏州,农业科技
未势能源,2019,上海,清洁能源
禾连健康,2014,杭州,数字医疗
鲸灵集团,2017,宁波,新零售
朴朴超市,2016,福州,新零售
一脉阳光,2014,南昌,数字医疗
吉因加科技,2015,北京,数字医疗
MetaApp,2016,北京,数字文娱
汇医慧影,2015,北京,数字医疗
Deepway,2020,北京,新能源汽车
领健,2015,上海,数字医疗
地上铁,2015,深圳,智慧出行
开思时代,2015,深圳,汽车服务
达观数据,2015,上海,人工智能
云粒智慧,2018,北京,智慧城市
厨芯科技,2019,苏州,产业互联网
紫光云,2018,天津,云服务
上海翊科,2020,上海,创新医疗器械
月之暗面*,2023,北京,人工智能
新施诺,2022,苏州,工业互联网
屹信航天,2018,无锡,商业航天
拓创生物Tavotek,2019,苏州,创新药
颐坤生物,2019,苏州,数字医疗
砺算科技,2021,南京,集成电路
积加ERP,2020,深圳,企业数字运营
光势能新能源*,2023,合肥,清洁能源
特思迪*,2020,北京,集成电路
芯三代,2020,苏州,集成电路
杭泰数智*,2022,杭州,清洁能源
硅基智能,2017,南京,人工智能
多玛医药,2021,苏州,创新药
士泽生物,2021,苏州,数字医疗
至讯创新,2021,无锡,集成电路
力通通信,2019,北京,集成电路
海龟爸爸Hipapa*,2019,广州,网红爆品
未磁科技,2020,北京,创新医疗器械
恩易浦*,2021,苏州,清洁能源
汉韦聚合物,2019,常州,新材料
乐普钠电*,2022,上海,新材料
至控科技*,2019,杭州,工业互联网
海森健康,2019,北京,数字医疗
中能创*,2021,常州,清洁能源
肥汁米菌,2019,上海,网红爆品
容导半导体*,2022,无锡,集成电路
路凯智行,2020,北京,自动驾驶
力成药业*,2022,合肥,创新药
睿普康*,2019,合肥,集成电路
腾圣储能*,2022,苏州,清洁能源
长飞光坊*,2020,武汉,高端智能装备与器件
新宸新材料*,2021,滁州,新材料
维伟思,2019,苏州,数字医疗
必博半导体*,2021,杭州,集成电路
众钠能源*,2021,苏州,清洁能源
齐禾生科,2021,苏州,数字医疗
忧芯科技*,2020,上海,集成电路
百新能源*,2021,深圳,清洁能源
蓝象智联,2020,杭州,人工智能
赛神医药,2020,上海,创新药
艾科脉,2020,苏州,创新医疗器械
威斯津生物,2021,成都,创新药
凯爱生物*,2021,苏州,数字医疗
士模微电子*,2021,北京,集成电路
屹信航天,2018,无锡,商业航天
拓创生物Tavotek,2019,苏州,创新药
颐坤生物,2019,苏州,数字医疗
砺算科技,2021,南京,集成电路
积加ERP,2020,深圳,企业数字运营
光势能新能源*,2023,合肥,清洁能源
特思迪*,2020,北京,集成电路
芯三代,2020,苏州,集成电路
杭泰数智*,2022,杭州,清洁能源
硅基智能,2017,南京,人工智能
多玛医药,2021,苏州,创新药
士泽生物,2021,苏州,数字医疗
至讯创新,2021,无锡,集成电路
力通通信,2019,北京,集成电路
海龟爸爸Hipapa*,2019,广州,网红爆品
未磁科技,2020,北京,创新医疗器械
恩易浦*,2021,苏州,清洁能源
汉韦聚合物,2019,常州,新材料
生命盾医疗*,2022,苏州,创新医疗器械
云脉芯联*,2021,上海,集成电路
我的万物集MyMRO,2020,广州,产业互联网
旗芯微半导体,2020,苏州,集成电路
英诺达,2020,成都,集成电路
海得智慧能源*,2022,嘉兴,清洁能源
图灵量子,2021,上海,量子科技
征祥医药,2020,南京,创新药
瑞莱谱医疗*,2019,杭州,数字医疗
泰楚生物*,2020,上海,创新药
镨芯电子,2020,嘉兴,集成电路
奕行智能,2022,广州,集成电路
进迭时空*,2021,杭州,集成电路
太初元基*,2019,无锡,人工智能
北斗智联,2019,重庆,智能网联
锐思智芯,2019,深圳,集成电路
曲速科技,2019,绍兴,集成电路
芯带科技*,2021,无锡,集成电路
华辰芯光,2021,无锡,集成电路
众为光电,2019,苏州,新材料
领方生物*,2020,无锡,创新药
博智复材*,2022,无锡,新材料
赛博昆仑*,2021,北京,网络工具
合光光掩模科技*,2023,合肥,集成电路
利科新材料,2021,合肥,新材料
德米特*,2020,马鞍山,农业科技
舜铭存储*,2023,无锡,集成电路
圆周率半导体,2021,南通,集成电路
高能时代能源*,2021,珠海,动力电池
锐正基因,2021,苏州,创新药
乐聚机器人,2016,深圳,机器人
芯视佳,2020,深圳,集成电路
伯仪生物*,2022,常州,数字医疗
安龙生物*,2019,北京,创新药
高灯科技,2017,深圳,企业数字运营
易冲科技*,2016,成都,集成电路
宜宾锂宝*,2017,宜宾,新材料
微纳星空,2017,北京,商业航天
凯莱英生物,2022,上海,创新药
峰飞航空,2019,上海,无人机
芯长征,2017,南京,集成电路
中瑞宏芯*,2021,苏州,集成电路
中科科乐*,2022,合肥,新材料
升滕半导体*,2019,合肥,集成电路
科霸生物,2021,扬州,创新药
星环聚能,2021,西安,清洁能源
心岭迈德*,2020,苏州,创新医疗器械
亚通生物*,2020,苏州,创新医疗器械
赋乐科技*,2020,深圳,大数据
六角形半导体*,2019,合肥,集成电路
铭镓半导体*,2020,北京,集成电路
糖智药业*,2019,武汉,创新药
家里泉,2020,苏州,智能硬件
安芯网盾,2019,北京,网络工具
启科量子,2019,合肥,量子科技
爱博生Absea**,2020,苏州,创新药
洞隐科技*,2021,厦门,企业数字运营
能斯特,2020,成都,新材料
华辰芯光,2021,无锡,集成电路
众为光电,2019,苏州,新材料
领方生物*,2020,无锡,创新药
博智复材*,2022,无锡,新材料
赛博昆仑*,2021,北京,网络工具
合光光掩模科技*,2023,合肥,集成电路
利科新材料,2021,合肥,新材料
德米特*,2020,马鞍山,农业科技
舜铭存储*,2023,无锡,集成电路
圆周率半导体,2021,南通,集成电路
高能时代能源*,2021,珠海,动力电池
锐正基因,2021,苏州,创新药
乐聚机器人,2016,深圳,机器人
芯视佳,2020,深圳,集成电路
伯仪生物*,2022,常州,数字医疗
安龙生物*,2019,北京,创新药
高灯科技,2017,深圳,企业数字运营
易冲科技*,2016,成都,集成电路
宜宾锂宝*,2017,宜宾,新材料
微见智能*,2019,深圳,集成电路
翠展微电子*,2020,嘉兴,集成电路
觅淘智联,2020,北京,旅游体育
祐森健恒,2020,上海,创新药
晶芯半导体*,2019,黄石,集成电路
北极雄芯*,2021,西安,集成电路
数巅科技*,2022,北京,大数据
心航路医学*,2020,广州,创新医疗器械
Baseus倍思*,2019,深圳,智能硬件
金琥汽车*,2020,成都,新能源汽车
紫光华智*,2018,重庆,人工智能
光晶能源*,2022,佛山,清洁能源
中海储能*,2020,北京,清洁能源
超睿科技*,2021,上海,集成电路
AG超玩会*,2019,成都,数字文娱
仁景生物*,2021,苏州,创新药
氢易能源,2021,西安,清洁能源
希科半导体*,2021,苏州,集成电路
傲林科技,2019,北京,工业互联网
中科西光航天*,2021,咸阳,商业航天
纳诺半导体*,2021,合肥,集成电路
新芽基因*,2020,苏州,创新药
晶拓半导体*,2020,苏州,集成电路
微见智能*,2019,深圳,集成电路
翠展微电子*,2020,嘉兴,集成电路
觅淘智联,2020,北京,旅游体育
祐森健恒,2020,上海,创新药
晶芯半导体*,2019,黄石,集成电路
北极雄芯*,2021,西安,集成电路
数巅科技*,2022,北京,大数据
心航路医学*,2020,广州,创新医疗器械
Baseus倍思*,2019,深圳,智能硬件
金琥汽车*,2020,成都,新能源汽车
紫光华智*,2018,重庆,人工智能
光晶能源*,2022,佛山,清洁能源
中海储能*,2020,北京,清洁能源
超睿科技*,2021,上海,集成电路
AG超玩会*,2019,成都,数字文娱
仁景生物*,2021,苏州,创新药
氢易能源,2021,西安,清洁能源
希科半导体*,2021,苏州,集成电路
傲林科技,2019,北京,工业互联网
中科西光航天*,2021,咸阳,商业航天
纳诺半导体*,2021,合肥,集成电路
新芽基因*,2020,苏州,创新药
晶拓半导体*,2020,苏州,集成电路
微见智能*,2019,深圳,集成电路
翠展微电子*,2020,嘉兴,集成电路
觅淘智联,2020,北京,旅游体育
祐森健恒,2020,上海,创新药
晶芯半导体*,2019,黄石,集成电路
北极雄芯*,2021,西安,集成电路
数巅科技*,2022,北京,大数据
心航路医学*,2020,广州,创新医疗器械
Baseus倍思*,2019,深圳,智能硬件
金琥汽车*,2020,成都,新能源汽车
紫光华智*,2018,重庆,人工智能
光晶能源*,2022,佛山,清洁能源
中海储能*,2020,北京,清洁能源
超睿科技*,2021,上海,集成电路
AG超玩会*,2019,成都,数字文娱
仁景生物*,2021,苏州,创新药
氢易能源,2021,西安,清洁能源
希科半导体*,2021,苏州,集成电路
傲林科技,2019,北京,工业互联网
中科西光航天*,2021,咸阳,商业航天
纳诺半导体*,2021,合肥,集成电路
新芽基因*,2020,苏州,创新药
晶拓半导体*,2020,苏州,集成电路
微见智能*,2019,深圳,集成电路
翠展微电子*,2020,嘉兴,集成电路
觅淘智联,2020,北京,旅游体育
祐森健恒,2020,上海,创新药
晶芯半导体*,2019,黄石,集成电路
北极雄芯*,2021,西安,集成电路
数巅科技*,2022,北京,大数据
心航路医学*,2020,广州,创新医疗器械
Baseus倍思*,2019,深圳,智能硬件
金琥汽车*,2020,成都,新能源汽车
紫光华智*,2018,重庆,人工智能
光晶能源*,2022,佛山,清洁能源
中海储能*,2020,北京,清洁能源
超睿科技*,2021,上海,集成电路
AG超玩会*,2019,成都,数字文娱
仁景生物*,2021,苏州,创新药
氢易能源,2021,西安,清洁能源
希科半导体*,2021,苏州,集成电路
傲林科技,2019,北京,工业互联网
中科西光航天*,2021,咸阳,商业航天
纳诺半导体*,2021,合肥,集成电路
新芽基因*,2020,苏州,创新药
晶拓半导体*,2020,苏州,集成电路
微见智能*,2019,深圳,集成电路
翠展微电子*,2020,嘉兴,集成电路
觅淘智联,2020,北京,旅游体育
祐森健恒,2020,上海,创新药
晶芯半导体*,2019,黄石,集成电路
北极雄芯*,2021,西安,集成电路
数巅科技*,2022,北京,大数据
心航路医学*,2020,广州,创新医疗器械
Baseus倍思*,2019,深圳,智能硬件
金琥汽车*,2020,成都,新能源汽车
紫光华智*,2018,重庆,人工智能
光晶能源*,2022,佛山,清洁能源
中海储能*,2020,北京,清洁能源
超睿科技*,2021,上海,集成电路
AG超玩会*,2019,成都,数字文娱
仁景生物*,2021,苏州,创新药
氢易能源,2021,西安,清洁能源
希科半导体*,2021,苏州,集成电路
傲林科技,2019,北京,工业互联网
中科西光航天*,2021,咸阳,商业航天
纳诺半导体*,2021,合肥,集成电路
新芽基因*,2020,苏州,创新药
晶拓半导体*,2020,苏州,集成电路
微见智能*,2019,深圳,集成电路
翠展微电子*,2020,嘉兴,集成电路
觅淘智联,2020,北京,旅游体育
祐森健恒,2020,上海,创新药
晶芯半导体*,2019,黄石,集成电路
启德医药,2019,苏州,创新药
海天智胜*,2019,宁波,高端智能装备与器件
新石器,2018,北京,自动驾驶
鉴智机器人,2021,北京,自动驾驶
闪马智能,2019,上海,智慧城市
极狐信息,2021,武汉,网络工具
中安半导体,2020,南京,集成电路
动力再生,2020,武汉,新材料
Green Monday,2019,香港,网红爆品
全芯智造,2019,合肥,集成电路
海纳云,2017,青岛,智慧城市
邦芯半导体*,2020,上海,集成电路
医准智能,2017,北京,数字医疗
杰毅生物,2019,杭州,数字医疗
